Question,Answer,Rank
What is the arXiv ID of the text?, arXiv:2501.09223v1,10
What is the subject classification of this text?, cs.CL (Computational Linguistics),10
When was the text submitted?," January 16, 2025",9
Who are the authors of this text?, Tong Xiao and Jingbo Zhu,10
What institution are the authors affiliated with?, Northeastern University & NiuTrans Research,10
Under what license is this text distributed?, Creative Commons Attribution-NonCommercial 4.0 Unported License,10
What is the main topic of this text?, The foundations of Large Language Models (LLMs).,10
What is a key insight brought by LLMs?, Knowledge of the world and languages can be acquired through large-scale language modeling tasks.,10
How has the research methodology in NLP changed due to LLMs?, A shift from training specialized systems from scratch to using large-scale pre-training to obtain foundation models.,10
What is the purpose of this book?," To outline the basic concepts of LLMs and introduce related techniques, focusing on foundational aspects.",10
How many chapters are in the book?, Four,10
What is covered in Chapter 1?," The basics of pre-training, including methods and model architectures.",10
What is covered in Chapter 2?," Generative models (LLMs), scaling up model training, and handling long texts.",10
What is covered in Chapter 3?," Prompting methods for LLMs, including advanced methods like chain-of-thought reasoning.",10
What is covered in Chapter 4?," Alignment methods for LLMs, focusing on instruction fine-tuning and alignment based on human feedback.",10
What background knowledge is helpful for reading this book?," Machine learning, natural language processing, and an understanding of Transformers.",10
Is prior knowledge absolutely necessary to understand the book?," No, each chapter is designed to be self-contained.",10
What is the writing style of the book described as?, A compilation of notes taken while learning about LLMs.,10
What are the two types of problems typically involved in discussing pre-training in NLP?, Sequence modeling (encoding) and sequence generation.,10
What is the general equation used to represent a sequence model?," o = g(x0, x1, ..., xm; θ) = gθ(x0, x1, ..., xm)",10
What are the two fundamental issues in pre-training NLP models?, Optimizing θ on a pre-training task and applying the pre-trained model to downstream tasks.,10
What are the three pre-training approaches discussed?," Unsupervised, supervised, and self-supervised pre-training.",10
What is unsupervised pre-training?, Optimizing a neural network using a criterion not directly related to specific tasks.,10
What is supervised pre-training?, Pre-training a neural network on supervised learning tasks before adapting it to downstream tasks.,10
What is self-supervised pre-training?, Training a neural network using supervision signals generated by itself from unlabeled data.,10
Which pre-training approach is most popular in current state-of-the-art NLP models?, Self-supervised pre-training.,10
What are the two major types of models used in NLP pre-training?, Sequence encoding models and sequence generation models.,10
What is sequence encoding?, Representing an input sequence as a vector or sequence of vectors.,10
What is sequence generation?, Generating a sequence of tokens based on a given context.,10
What is a common method of adapting pre-trained models?, Fine-tuning.,10
What is prompting?, Adapting LLMs to solve NLP problems by transforming them into text generation problems.,10
What is zero-shot learning?, Performing tasks not observed during the training phase.,10
What is few-shot learning?, Performing tasks with a few examples provided as demonstrations.,10
What are decoder-only architectures?," Architectures used in language models, predicting the distribution of tokens at a position given preceding tokens.",10
What is a common loss function used in decoder-only pre-training?, Log-scale cross-entropy loss.,10
What is masked language modeling?, Masking some tokens in the input sequence and training the model to predict them.,10
What is a drawback of masked language modeling?, The use of a special token ([MASK]) only during training.,10
What is permuted language modeling?, Predicting tokens in a permuted order to leverage broader context.,10
What is next sentence prediction (NSP)?, A task used in BERT to determine the relationship between two sentences.,10
What is the ELECTRA model?, A model that trains a Transformer encoder to identify whether tokens are original or altered.,10
What is the T5 model?, A model that frames various NLP tasks as text-to-text tasks.,10
What is preﬁx language modeling?, Predicting a subsequent sequence given a prefix sequence as context.,10
What is translation language modeling?, Pre-training on bilingual data to capture correspondences between tokens in two languages.,10
What is code-switching?, Switching among languages in a text.,10
What is catastrophic forgetting?, A neural network forgetting previously learned information when updated on new samples.,10
What are LLMs?," Large Language Models, often generative models capable of understanding and generating natural languages.",10
What is the goal of language modeling?, To predict the probability of a sequence of tokens occurring.,10
What is an autoregressive process in language modeling?, Predicting the next token based on preceding tokens.,10
What is the architecture of most LLMs based on?, Decoder-only Transformer architectures.,10
What are the two sub-layers in a Transformer block?, Self-attention and FFN (feed-forward network).,10
What is the purpose of the masking variable in self-attention?, To prevent the model from accessing the future (right-context) tokens.,10
What is the objective of maximum likelihood training for LLMs?, To maximize the likelihood of the training data.,10
What challenges arise when training LLMs at scale?," Requires large-scale distributed systems, significant computational resources, and potential training instability.",10
What is instruction fine-tuning?, Fine-tuning LLMs on instruction-response annotated data.,10
What is zero-shot learning in the context of LLMs?, The ability of fine-tuned LLMs to handle tasks not explicitly trained on.,10
What is reinforcement learning from human feedback (RLHF)?, A method that aligns LLMs with human values by using human feedback as a reward signal.,10
What are the two components in RLHF?, An agent (LLM) and a reward model.,10
What is a reward model?, A model that scores LLM outputs based on human preferences.,10
What is the role of prompting in LLM alignment?, To guide LLM behavior and elicit desired outputs.,10
What is in-context learning?, Learning from demonstrations or examples provided in the prompt.,10
What are three types of in-context learning?," Zero-shot, one-shot, and few-shot learning.",10
What is prompt engineering?, The process of designing effective prompts to maximize LLM performance.,10
What are some strategies for effective prompt engineering?," Clear task descriptions, guiding LLMs to think, providing reference information, and paying attention to format.",10
What is chain-of-thought (CoT) prompting?, Guiding LLMs to generate step-by-step reasoning for complex problems.,10
What are the differences between few-shot and zero-shot CoT prompting?," Few-shot CoT uses examples, while zero-shot CoT uses instructions to elicit step-by-step reasoning.",10
What is problem decomposition?," Breaking down a complex problem into smaller, simpler sub-problems.",10
What is least-to-most prompting?," A problem decomposition method that solves sub-problems sequentially, from least to most complex.",8
What is self-reﬁnement?, LLMs iteratively refining their own outputs based on feedback.,10
What are the three steps in a general self-reﬁnement framework?," Prediction, feedback collection, and refinement.",10
What is model ensembling?, Combining predictions from multiple LLMs or prompts.,10
What is the self-consistency method?, Selecting the answer that appears most frequently across multiple reasoning paths.,10
What is retrieval-augmented generation (RAG)?, Using external information retrieval systems to augment LLM inputs.,10
What is tool use in LLMs?," Integrating external tools (databases, APIs) into LLMs for improved accuracy and capabilities.",10
What is automatic prompt design?, Automatically creating and optimizing prompts for LLMs.,10
What are the components of a prompt optimization framework?," Prompt search space, performance estimation, and search strategy.",10
What are soft prompts?," Hidden, distributed representations of prompts embedded within LLMs.",10
What is context distillation?, Training a student model to use simplified instructions from a teacher model.,10
What is preﬁx fine-tuning?, Appending trainable vectors (preﬁxes) to the input of each Transformer layer.,10
What is prompt tuning?, Modifying only the embedding layer by adding trainable vectors (soft prompts).,10
How can soft prompts be used for parameter-efﬁcient ﬁne-tuning?," By only training a small number of parameters (the soft prompts), while keeping the main model parameters frozen.",10
How can soft prompts be used for context compression?, By distilling knowledge from long contexts into compact soft prompt representations.,10
What is prompt length reduction?, Simplifying prompts to reduce computational costs and improve efﬁciency.,10
What is the main goal of LLM alignment?," To ensure that LLM outputs align with human expectations, values, and preferences.",10
What are the three main approaches to LLM alignment?," Fine-tuning with labeled data, fine-tuning with reward models, and inference-time alignment.",10
What is supervised fine-tuning (SFT)?, Fine-tuning LLMs on a dataset of instruction-output pairs.,10
What are some challenges in manual generation of instruction-following data?," Requires significant effort, can be subjective, and may not cover all possible tasks.",10
What is self-instruct?, A method to automatically generate instruction-following data using LLMs.,10
What is the goal of instruction generalization?, Training LLMs to perform various tasks accurately as described by different instructions.,10
What is the superﬁcial alignment hypothesis?," The idea that core learning happens during pre-training, and fine-tuning primarily activates existing knowledge.",10
What is the weak-to-strong generalization problem?," Using smaller, less complex models to improve the training of larger, more complex models.",10
How can weak models be used to improve strong models in instruction fine-tuning?, By generating synthetic fine-tuning data or by incorporating knowledge distillation loss.,10
What is the performance gap recovered (PGR) metric?, A metric measuring the improvement in test-set performance achieved through weak-to-strong fine-tuning.,10
What is direct preference optimization (DPO)?, A method that directly optimizes the policy based on user preferences without training a reward model.,10
What is the main advantage of DPO?, Simplicity and sample efficiency compared to RLHF.,10
What is automatic preference data generation?, Using LLMs to generate preference labels for pairs of outputs.,10
What are some methods for automatic preference data generation?," Pairwise comparison, rating, and listwise ranking.",8
What is the overoptimization problem?, Decreasing performance due to over-aligning LLMs with an imperfect reward model.,10
How can the overoptimization problem be mitigated?, By combining multiple reward models.,10
What are ﬁne-grained rewards?, Rewards computed at a segment level to provide more detailed supervision.,10
What is Best-of-N (BoN) sampling?, Using a reward model to select the best output from multiple LLM predictions.,10
